XMMC,FZR,DWMC,XMJJ,XMJB,ND
核桃抗逆资源收集与抗病新种质创制,张建英,河北省林业和草原科学研究院,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span></p><p style=""text-indent: 32px; line-height: 29px; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size: 16px"">根据河北省核桃栽培以有新疆血统的早实品种为主，果实病害非常严重，缺乏优质、高抗核桃炭疽病、黑斑病品种，而历史遗留下来的具有优良</span>抗逆性的核桃种质资源面临丢失亟待保护的现实。项目提出在前期多年研究的基础上，开展筛选、收集和异地保存河北省核桃优良抗逆种质资源（特别是抗病资源），为今后开展核桃育种和种质创新研究保存基因基础；通过杂交、引进品种筛选、实生资源筛选等技术方法，选育（筛选）高抗核桃炭疽病、核桃黑斑病，且坚果性状、栽培状优良核桃新品种（品系），同时开展核桃抗逆新种质创制。种质创新的重点目标是核桃高抗病（核桃炭疽病、核桃黑斑病）。在抗逆新品种筛选和新种质创制研究同时，<span style=""font-family: 宋体; letter-spacing: 0px;"">对核桃抗性种质与易感病核桃资源果实青皮和叶片中内含物、及其与果实病害的相关性</span><span style=""font-family: 宋体; letter-spacing: 0px;"">进行研究，为抗性育种提供理论依据。</span></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span><br></p>",省级,2020
新型聚乙烯醇/磷酸银光催化剂的制备及表征研究,张杰,衡水学院,磷酸银以超高的量子效率及优异的可见光催化性能备受研究者的青睐。然而，磷酸银化学性质不稳定，易发生光化学腐蚀，形成的银单质附着在Ag3PO4颗粒表面，削弱了对可见光的吸收。因此，Ag3PO4光催化剂的应用受到很大限制。聚乙烯醇作为一种共轭聚合物前驱体，在一定的温度下会发生热消除反应，形成一定的共轭结构。共轭结构可以加速电子在界面上的传递，增加光诱导电荷分离，减少电荷重组，从而提高光催化活性。本项目拟采用将少量的聚乙烯醇包覆在Ag3PO4光催化剂上，并通过热处理制备出聚乙烯醇/磷酸银复合微粒，并对制得的复合材料性能进行测定，探讨光催化活性提高的机理。为拓宽光Ag3PO4催化剂在环境水处理方面奠定基础。实验用原料皆为低毒或无毒的环境友好试剂，为高性能光催化材料的绿色研制和开发提供理论依据。,省级,2018
超细高强玄武岩纤维,张金路,承德泰航新材料科技有限公司,          生产超细高强玄武岩纤维，需要通过高精度温控系统和温度采样反馈系统配合由PLC设定合理程序对玄武岩石料熔化过程进行精准的自动控制。加上窑炉设计了足够大的储存空间从而形成每天一次的低置换率，确保玄武岩石料熔化过程中的充分均化和排泡、澄清。带有热电偶采样的全铂漏板自动温控系统将铂漏板拉丝成型温度精准控制，再加之漏板全铂大储存空间，内设多层滤网控制基本可以杜绝杂质流入漏嘴，从而保证了超细高强玄武岩纤维生产的满筒率。,省级,2017
食用菌抗氧化产品中试开发,张金秀,河北师范大学,该项目以国家授权发明专利《一种含有苯并呋喃环的香豆素类化合物、制备方法及其应用》（专利号：ZL 201710843876.6）所含的抗氧化物质分离纯化技术、功能验证方法等为基础，建立利用大型真菌生产抗氧化保健食品中试生产工艺及产品标准，具体包括：抗氧化物质来源、中试提取工艺、提取物剂型、质量及功能检测标准等，完成1000g大型真菌来源抗氧化保健食品的生产，为食用菌精深加工开辟新路径、新产品，增加其产品附加值，丰富我国抗氧化保健食品的种类和数量。,省级,2020
基于三维视景的模拟火灾现场勘验系统,张金专,中国人民武装警察部队学院,基于三维虚拟现实引擎，利用三维视景技术对火灾痕迹现场、现场周边环境、火灾物证、物证采集及提取工具进行精细建模，模拟真实火灾现场，被训练人员采用第一人称方式，进行仿真火场勘验、物证鉴定及综合研判等操作，被训练人员能够根据火灾现场勘验及物证鉴定需要，在仿真环境下进行自由行走和勘验活动，并能根据需要选择工具进行火灾物证提取，提取的物证能够自由旋转查看，然后进入鉴定程序进行仿真鉴定，被训练人员对物证进行鉴定后，出具鉴定报告，整个训练过程可以自动录制并根据需要进行回放查看，教师登录系统后可以根据查看训练过程记录和鉴定报告，对被训人员进行评判打分。,省级,2016
轨道交通接触网高性能铜合金材料项目,张进东,邢台鑫晖铜业特种线材有限公司,"一、项目名称：轨道交通接触网高性能铜合金材料项目
二、项目主要内容：为满足时速400km及以上速度列车运行要求，保证运输安全，在现有高强度铜镁合金导线不能满足要求的情况下，有必要研制具有更高强度，更高导电率的新一代接触网线材。400km/h及以上速度目标值要求承力索张力不小于23kN，接触线张力不小于36kN，接触线的抗拉强度不小于530MPa。另外，目前高速铁路接触网整体吊弦采用的铜合金绞线和电连接采用软铜绞线，存在耐腐蚀、耐疲劳性能差，易出现疲劳断丝、断股等问题，给行车安全带来较大隐患，亟需解决。
三、项目投资情况：项目总投资1183.7万元，其中固定资产投资865.7万元。企业自筹1083.7万元，申请专项资金100万元。",省级,2017
3D打印用高性能粉末材料制备技术研究与应用,张觉灵,河北敬业增材制造科技有限公司,"本项目旨在开发并投入一套具有国内领先水平的微细金属粉末和新型合金粉末成套制备技术，利用该技术装备制备的细粉具有产出率高、杂质含量低的特点，能够满足3D打印金属制品、航空航天用粉末冶金制品、高纯净粉末冶金靶材、金属注射成型、金刚石刀具及工具等领域用各类高端金属粉体的需求。
（1）雾化制粉相关装置的设计与使用，包括超音速喷嘴的设计与使用，温度控制方面的一些设计及应用。
（2）真空度的稳定性控制，真空室与真空计相连接与自动控制系统，通过自动控制系统保持真空抽速的相对变化，从而达到真空室真空度的稳定性。
（3）粉末粒度及球形度的控制，通过检测粉末粒度度指标，合理调整液流流量，使粉末达到设定指标。
（4）适用耐材的设计及选用，本设备使用的耐材均是经过反复设计及试验确定的，确保耐材在熔炼雾化过程中可靠、耐用、稳定。",省级,2017
基于基因组选择的深县猪种质资源创新与利用技术研究,张军辉,河北省畜牧良种工作总站,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""><span style=""font-family: 宋体; font-size: 16px;""></span> &nbsp;</span><span style=""font-family: 宋体; font-size: 21px;"">该项目以深县猪为基础，通过合理的引入外来种猪血缘，利用基因组选择育种和常规育种相互结合的方法开展深县猪种质资源创新与利用技术研究。首先选择具有典型特征且生产性能优秀的深县猪组建核心群，以深县猪作为母本，杜洛克猪做父本进行杂交选育。选留优秀后代进行生产性能测定，开展横交，再挑选黑毛色猪组成新的群体进行扩繁。利用全基因组选择技术对各世代猪群进行种质资源鉴定，遗传多样性、群体家系构建、血统纯度等；亲缘关系、系谱纠偏、近交分析等；同时进行经济性状评估，对</span><span style=""font-size: 21px; font-family: 宋体;"">影响</span><span style=""font-family: 宋体; font-size: 21px;"">瘦肉率、肌内脂肪等肉质性状的分子标记和功能基因鉴定等，通过基因组选择，缩短世代间隔，实现待选群体的早期选留；提高育种值估计准确性，降低育种成本，减少性能测定的数量；加速遗传进展，可实现20%或更多的遗传进展。使其保留深县猪的肉质细嫩香醇、繁殖力强、抗病力强等优点，适当降低背膘厚和提高瘦肉率。通过几个世代基因组选择和传统选择选育方法提高形成深县猪合成系，为以后培育含有深县猪血缘的新品种奠定基础，满足市场对优质猪肉的需求，从而推进深县猪向产业化发展。</span></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span><br></p>",省级,2020
用于可降解疝钉高分子材料的制备与研究,张轲,河北瑞诺医疗器械股份有限公司,"    近年来疝的发病率呈现出逐年上升的趋势，临床中主要采取手术方法治疗疝，应用补片修补疝已被国内外临床普遍接受，而补片的确切固定是保证修补效果的关键。在补片的固定方式中，疝钉固定是最重要的腹腔镜下补片固定方法。与其他固定方法相比，可降解疝钉使用便捷，既具有显著的固定效果又可随时间推移减少病人体内外来的异物残留，减小了一些术后潜在并发症的发生率，是在软组织修补方面的一大创新。
    目前在我国，可降解疝钉高分子材料以及可降解疝钉的应用远不如在国外广泛，同类材料和产品尚无自主研制和生产，而在疝修补术中应用一些新工艺、新材料，并借此来降低术后各种并发症的发生和提高疗效是疝外科发展的一大趋势。
    本项目的实施，开展了对可降解疝钉高分子材料的研究，推动可降解疝钉的国产化进程。以左旋乳酸和乙醇酸为原料，在特定温度和压力下反应，经过提纯、真空干燥和粉碎处理，制备出用于可降解疝钉加工的新型可降解高分子材料。再通过理化性能研究、体外降解研究、生物学评价研究、动物试验研究、临床评价以及加工工艺研究，最终实现可降解疝钉高分子材料的量产。
    本项目的实施，为我国可降解疝钉高分子材料行业的发展奠定了基础，对减少患者痛苦，降低患者经济负担有重要意义；本项目的产业化生产将扩大就业机会、加快产学研人才的培养。
",省级,2017
河北地质大学创业生态公园,张可,河北地院科技开发总公司,      创业生态公园是一个帮助大学创新实践的生态系统。生态是指各种元素的交融，是一个大学与社会跨界创新的场所；公园是指一种适合创新的氛围，在玩耍的环境中最大程度释放自己的创造力。创业生态公园包括教育系统、实践平台、能将想法变成现实的创新实验室以及支持想法变成产品和企业的孵化平台。经费主要用于硬软件、教育内容开发、产品平台对接等。预期所有大学生都能参与创新，有3%的创新成果可以转化为产品和企业。,省级,2017
动车组闸片1:1台架试验机,张克霞,保定市福瑞客特种陶瓷制品制造有限公司,"       本试验台用于轨道交通领域机车车辆基础制动摩擦副的测试。试验台能够试验1:1样件在模拟真实载荷和工况下，按照设定的制动试验测试程序，进行动力制动试验测试，完成试验数据采集和试验报告生成。该实验台的功能、技术指标应能够满足TJ/CL 307-2019试验标准及闸瓦、闸片研究开发的要求。
该项目包含的主要实验类型有动态试验、静态试验、坡道制动实验、潮湿实验等。此外该实验台具有以下特点：1、机械惯量+电惯量模拟总能量，操作方便、快捷；2、加压精准可控，采用伺服阀控制加压，实现恒压力、阶梯压力、斜率压力等多种加压模式3、加入抗干扰控制单元和谐波处理系统，防止变频器对电控系统和电网形成冲击干扰和污染。4、能够对试验机进行轴承位温度、震动、电机转子等进行监控，并且传感器的布置采取冗余方式，保证试验机安全运行，对试验机进行保护；5、试验机防震和抗震能力强。试验机最大时速将达到500公里，最大轴重达到8.5吨，最大单次制动能量820MJ，能量巨大，试验机自身抗震，并做减震处理，避免影响周围设备。
该项目包括了机械、电控、软件编程、安全等多方面的设计。",省级,2019
聚光光伏组件开发及热电联供系统应用研究,张雷,英利能源（中国）有限公司,"          聚光光伏组件开发及热电联供系统应用研究的设计研究过程包括太阳能聚集、传输、吸收、光电转化前后以及光电转化进行时，供能系统对光热的综合利用。 本项目针对系统能流传输过程中各环节存在的关键问题进行深入研究，主要研究内容如下：1、跟踪聚光单元技术； 2、高效、低成本聚光器的研制； 3、聚光光伏电池的开发； 4、聚光光伏电池散热技术； 5、聚光与光电、光热转化多场耦合特性研究； 6、热电联供测控系统开发。
       本项目的研究目标：聚光光伏组件开发及热电联供系统应用技术的研究，包括复合抛物面聚光技术、聚光光伏组件技术、太阳能电池高效散热和热能回收技术，以及聚光与光电、光热转化多场耦合特性研究，以实现太阳能高效电热转化利用。将上述技术应用于光电光热峰值总功率140kW的发电供热综合示范系统，系统的发电效率大于15%，热水温度50℃以上，光电光热总效率可以达到65%以上。申请国家发明专利5项，论文3篇及以上。
 

",省级,2018
华北电力大学科技园能源电力专业孵化器建设,张力晖,保定华电天德科技园有限公司,"      项目以落实《河北省推动科技服务业高质量发展实施方案（2019-2022年）》为指导思想，通过完善“中小企业涉电产品公共检测服务平台”、“科技成果转化与孵化服务平台”及“天德π客”众创空间，构建以“专业化+产业集聚”为特色的孵化育成体系，提高面向电力行业的资源整合与创新供给能力，实现华北电力大学科技园服务体系的系统化、科学化、品牌化。
    科技园将紧紧围绕建设能源电力专业孵化器的目标，与国家级检验检测中心合作，提升检测服务水平及科技企业孵化育成能力，积极推动新能源电力研发企业在园区聚集，并重点完成以下工作：
    1、完善“中小企业涉电产品公共检测服务平台”建设，提升专业化服务水平：购置专业仪器设备，加强检测平台硬件建设；完成CNAS体系文件换版；加强检测平台技术人才培养。
    2、完善“科技成果转化与孵化服务平台”建设，推动电力产业集聚发展：优化孵化育成环境，提升企业入驻生态；培育能源电力科技型企业和高新技术企业；开展技术合同认定登记工作，加快科技成果转化。
    3、加快“天德π客”众创空间建设，助力大学生创新创业：孵化大学生创新创业项目；组建电力行业专家咨询库；举办“天德π客”创业系列讲座，提高创新主体对科技政策的认知度。
",省级,2019
基于立体视觉的智能机器人柔性装配系统,张立国,燕山大学,"       随着当前工业化进程的不断发展，对制造业的发展也提出了新的挑战，即以“工业4.0”、“中国制造2025”中智能制造为核心的新型自主、智能制造业。机器人柔性自动化生产已逐渐占据巨大的市场。目前我国机器人厂家虽然数量比较多，但真正具有自主核心技术和知识产权的并不多，核心技术依然被国外企业所垄断，尤其是在机器人智能柔性装配领域，缺乏高水平的技术研究和形成相应产品。机遇与挑战并存，机器人柔性装配的质量已经作为检验柔性生产线的重要标准。研究自主、可用、可靠的智能机器人定位及装配系统已成为当务之急。
    本课题提出采用双目立体视觉技术实现非结构化环境下复杂装配件的识别与定位，并利用多重图像处理融合算法进行复杂装配目标自动位姿重构，并基于深度学习模型构建深层次卷积神经网络，在视觉约束条件下，结合多重机器人运动算法对机器人的运动进行规划，实现柔性装配。此项目研制成功后，能形成具有国内自主知识产权的机器人立体视觉学习系统和复杂装配件规划库，从根本上替代进口、节约外汇，而且项目应用范围广，市场空间大，能够产生较好的经济和社会效益，利国利民。
",省级,2018
响应面法优化超声波辅助提取板栗壳色素工艺及色素稳定性研究,张丽,衡水学院,"本课题利用农业废弃物板栗壳提取制备天然棕色素，不仅符合""变废为宝""、""吃干棒净""和""资源化利用""的农产品加工发展理念，还对増加产品附加值，提高产品市场竞争力，促进农业増效、农民增收和加工企业持续健康发展具有重要作用。本课题符合天然食品添加剂的""天然、安全、营养、多功能""发展方向，是天然色素产业发展的技术需求，是确保食品安全和人类健康的需要。板栗壳棕色素不仅可以用于食品着色，还可用于纺织品着色等工业领域。
1.本课题拟采用超声法提取板栗壳色素，考察影响提取效果的各种因素，通过单因素实验，了解各种因素的影响趋势，再进行响应面分析法优化色素提取的最佳提取工艺，确定显著影响提取率因素。
2.测定板壳棕色素的红外光谱图，确定板栗壳棕色素的化学结构，为研究板栗壳棕色素的稳定性打基础。
3.研究各种因素对板栗壳色素稳定性的影响，主要研究常用食品添加剂、氧化剂、还原剂等因素对板栗壳色素稳定性的影响，为其贮藏，运输，开发应用提供理论及实验依据。",省级,2018
邢台市科技服务数据库平台建设,张丽君,河北捷茂科技服务有限公司,"      科技服务机构作为科技资源需求双方的桥梁，通过数据库的建设，能以较低成本、最快的速度从国内外海量的科技资源中寻找到合适的信息提供给企业，促进企业成为技术创新的主体,提升企业的核心竞争力。
    邢台科技服务数据库平台建设的完成要达到最权威的专家资源、最真实的企业需求、最新的科研成果、最全面的大型科学仪器装备信息、最专业的服务机构，供需信息发布、技术对接撮合、大型仪器装备共享、科技金融扶持等功能，可为创业创新群体提供一对一量身定制式专业化服务。
    实现科技要素的聚集、内外资源的聚合、科技优势向创新优势、产业优势、经济优势的聚变，在创新型国家建设和区域经济发展中发挥辐射带动和示范引领作用。",省级,2017
越夏彩椒水肥一体化技术优化与应用,张林,张家口崇河农业开发有限公司,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size: 16px"">&nbsp; &nbsp; 蔬菜在生产过程中粗放管理造成水资源浪费，施肥过程中造成肥料不能完全发挥作用，连年单一品种重茬种植，造成土壤板结病害虫害严重，加大了农药使用量，导致蔬菜产品质量严重下降。同时，崇礼作为冬奥会的主赛场，蔬菜高质量绿色发展极其重要，对保供奥运赛期的鲜食采摘及区域乡村振兴有极其重要的意义，该项目由张家口崇河农业开发有限公司与</span><span style=""font-size: 16px""><span style=""font-family:宋体"">河北省农林科学院农业信息与经济研究所联合打造</span>1个</span><span style=""font-size: 16px""><span style=""font-family:宋体"">水肥一体化技术示范创新平台，引进集成</span>1套水肥一体化生产设备、制定1个水肥一体化生产标准，培育孵化彩椒主导产业经营主体，辐射带动全区彩椒种植经营主体集群发展，建设崇礼区彩椒产业科技示范基地，为打造绿色奥运品牌，示范带动科技企业发展，实现农业增</span><span style=""font-size: 16px"">产农民增收提供样板和创新人力资源。</span></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span><br></p>",省级,2021
冀北地区中上元古界泥页岩层系页岩油气形成条件及有利区块优选,张琳婷,华北理工大学,        河北省年消费能源约 9000万吨标准煤，其中煤占 90%以上，这样的能源结构，长期以来制约着全省国民经济的可持续发展，并造成严重的环境污染。因此，大力发展页岩气事业是我省除了发展煤层气又一在新能源上的突破。页岩气资源开发与利用做为一种新的能源是近年来的事情，为一种新兴的产业它有其自身特点和规律。冀北坳陷是中上元古代坳拉槽，当时是古亚洲洋的一部分，沉积了巨厚的中上元古界地层。在地表发现 100 多处油苗、多个古油藏。中上元古界地层最大厚度 7000 m 左右，划分为 3个系 12 个组。主要烃源岩类型为海相黑色页岩及碳酸盐岩。以郭杖子单斜带为例，该区发育洪水庄组灰黑色页岩，TOC含量平均 4.58％， 沥青“A”质量浓度平均 1994mg/L，总烃质量浓度平均 951 mg/L。从有机质丰度判断，洪水庄组灰黑色页岩是很好的烃源岩，且有机质演化程度处于成熟—高成熟阶段。以冀北地区中上元古海相页岩为主要目的层，在总结构造格局的基础上应用泥页岩厚度、TOC含量、干酪根类型和成熟度等评价参数，对冀北地区中元古界长城系串岭沟组和蓟县系洪水庄组、新元古界青白口系下马岭组的页岩气成藏地质条件进行评价，指出页岩气远景区及有利目标区。,省级,2016
大豆现代种业科技创新团队,张孟臣,河北省农林科学院粮油作物研究所,针对河北省大豆高产优质、高效生产发展的重大需求及病虫危害和干旱盐碱逆境等问题，围绕大豆高产优质多抗、适宜机械化作业、高效育种技术等方面，联合省内外大豆优势团队开展联合攻关。系统进行种质资源评价与创制、育种技术创新、新品种选育与应用研究，培育产量品质和适应性突破的新品种。在资源收集评价基础上，进行多年多环境、分子标记等多维度精准鉴定与优异种质创新利用，建成大豆种质资源数据共享平台。开发农艺性状基因标记，将分子标记辅助选择、基因组选择为主的分子育种与常规育种相结合，形成一套针对不同改良性状的育种方法，显著提高育种效率，促进生物育种产业化应用。不断突破大豆产量，攻克优质与高产、多抗同步改良提升的技术难题，培育一批高产优质多抗、适于麦茬机械化、免耕栽培，以及适宜不同种植制度、不同种植模式下的不同类型大豆新品种，满足市场需求。建立高效配套的良种繁育与示范推广体系，形成具有优势特色的河北大豆种业，通过新品种良种繁育、高产示范推广及产业化开发研究，实现新品种规模化、标准化生产、专用化供应，进一步推动我省大豆产业科技进步。,省级,2021
基于Ugi反应聚酰胺材料的制备及性能研究,张朋飞,保定学院,          基于Ugi聚合方法的简便易行、绿色高效，在本项目中首先以L-赖氨酸和L-谷氨酸为原料，分别制备L-赖氨酸甲酯盐酸盐和N-乙酰-L-谷氨酸单体。两类单体与叔丁基异腈和不同的醛（丁醛、戊醛和己醛等）组成聚合体系，通过Ugi聚合反应，在空气中室温下制备一系列聚氨基酸生物材料。通过傅立叶红外光谱仪、核磁共振谱仪和凝胶渗透色谱仪等对聚氨基酸材料的结构进行表征，同时MTT或CCK-8法以及激光共聚焦等技术对聚氨基酸材料的生物相容性进行评价。通过本研究，建立一种更加便捷、高效、绿色的聚氨基酸材料制备方法，并赋予材料更加优异的生物相容性，为材料的实际应用奠定重要的理论研究基础。,省级,2018
印刷开槽模切及成箱联动线生产装备及智能控制系统研发,张平格,河北工程大学,      本项目拟进行瓦楞纸板印刷、开槽模切、纸箱成型、打捆、码垛联动生产线智能化成套装备的研究，对印刷开槽模切机前缘送纸单元、纸箱成型部分的定位、伺服驱动、主轴位置反馈、校准、送料速度显示、长度设定、系统报警以及在线监测等关键技术进行研究，完成瓦楞纸板印刷开槽模切、纸箱成型及打捆码垛成套设备的研制。基于绿色设计以及数字化设计理念，通过机电一体化技术、现代控制理论，进行送纸、成型部分控制系统设计，采用PLC、传感技术、新型传动技术取代传统的电气控制柜和驱动装置，使零部件数量减少，结构简化；应用虚拟样机技术，建立样机的三维模型，进行虚拟装配及动力学仿真。该项目的实施能够提高瓦楞纸纸箱的生产效率，降低人工劳动强度，提高送纸、成型的加工精度，可减少废料，有利于节约成本，实现纸箱生产成套设备的智能化、自动化。,省级,2018
基于全生命周期一体化的装配式建筑预制板材的研发,张璞,石家庄职业技术学院,"        装配式建筑可以克服传统建筑高能耗、高污染、工期长、不可持续等弊端，是一种节能、环保、高效的建造模式，不仅避免钢筋、水泥等建材资源的浪费，而且保证建筑质量的可控性，避免施工现场湿作业可能出现的质量不合格等问题，同时，由于采用了新技术和新工艺，大大减少建造过程产生的建筑垃圾数量。但是，装配式建施工缺乏足够的工程实践，相关施工经验不足，存在施工人员对施工工艺的理解不够完善、构件堆放及吊装顺序不一定合理等问题，成为阻碍装配式建筑快速发展的绊脚石。
    基于此，本课题旨在提供一种贯穿装配式建筑全生命周期绿色可持续全模块装配式建筑体系及施工方法，要解决传统的装配式建筑没有模块化、部品化、模数化，不便于一体化集成和工业化生产的技术问题。加大装配式建筑技术体系和关键技术、配套部品部件的研发力度，推行装配式建筑一体化集成设计，强化装配式建筑设计对部品部件生产、安装施工、装饰装修等环节的统筹，掌握装配式建筑的新技术、新产品、新工艺，并不断熟练掌握吊装、堆放、安放、支撑、防护等工序。 本课题的研究可为装配式建筑施工提供参考依据，对推动装配式建筑的可持续快速发展具有指导意义。",省级,2018
互联时空众创空间,张濮凡,河北互联时空众创空间有限公司,"互联时空是集“大学生创业就业、众创空间、联合办公空间、孵化器”为一体的京津冀领先的大学生创业综合服务平台，以科技、教育、文化创意、互联网+为发展导向,为各类创业团队提供优质服务。经费将用于房租、水电，完善硬件配套，完善创业服务体系，建立导师库，聘请更多行业导师对创业者进行服务，建立创业教育板块。计划与大量科技成果对接，与政府、高校、专家团资源对接。互联时空旨在打造京津冀领先的创新型众创空间。",省级,2017
多场耦合变形制备Nd2Fe14B/α-Fe纳米复合永磁材料织构形成和磁性增强研究,张前,燕山大学,         纳米复合永磁材料有望成为下一代廉价、高性能永磁材料，本项目通过在应力场、应变场和温度场多物理场耦合条件下对贫Nd的Nd-Fe-B基非晶合金进行变形，以期实现复合纳米晶的形态和取向的同步控制，进一步提高这类复合磁体的磁性能。研究合金在多场耦合条件下的晶化动力学、晶化相的演变规律、纳米晶的形成和生长行为。探索在施加高应力和大应变进行热变形这种特殊条件下Nd-Fe-B基非晶合金中纳米晶的取向生长条件。研究多场耦合变形Nd2Fe14B/α-Fe纳米晶复合永磁材料的结构热稳定性和各组成相的腐蚀行为。研究“熔体快淬、变形工艺参数－微结构－磁性能”之间的关系，在此基础上制备出高性能各向异性块体Nd2Fe14B/α-Fe纳米晶复合永磁材料。,省级,2017
环境友好的新型聚乳酸基复合材料的制备,张青,唐山师范学院,聚乳酸、聚己内酯、田菁胶均为绿色环保、可完全生物降解的高分子材料，聚乳酸质脆、价格高、加工性能有待提高，而聚己内酯其突出特点是低的玻璃化转变温度和熔点，具有良好的柔韧性和加工性。田菁胶是从豆科植物田菁的种子胚乳中提取的一种天然多糖高分子化合物，在我国南方大面积种植，来源丰富，无毒，价格低廉，它的一个很重要的特性就是增黏性，为了提高其与聚乳酸的相容性，本项目制备了交联田菁胶来改性聚乳酸。基于聚乳酸与聚己内酯力学性能上的互补性，将两者进行熔融共混，通过控制组分比获得一系列具有不同降解周期、兼具强度与韧性的复合材料。由于聚乳酸和聚己内酯两相间界面粘合力不好，易产生宏观相分离，因此为了获得性能优良的材料，需要在共混过程中加入增容剂。本项目中，增容剂采用的是聚己内酯与甲基丙烯酸甲酯的接枝共聚物。共混物中，交联田菁胶的加入不仅可以降低复合材料的成本，而且还可以增加共混体系的熔体强度和熔融黏度，最终改善其加工性能。所制备的这种聚乳酸/聚己内酯/交联田菁胶复合材料适合通过注塑、吹塑、模压等成型工艺制作一次性餐具、包装材料、薄膜等塑料制品。,省级,2016
科技企业孵化器创新服务平台建设,张庆丰,张家口市金达开元科技企业孵化器有限责任公司,"     张家口市金达开元科技企业孵化器有限责任公司，2016底年被认定为省级科技企业孵化器，2年的发展，孵化器已经步入成熟。本次申报项目为“科技企业孵化器创新服务平台建设”，是在孵化器持续建设上的拓展经营，主要体现在创新服务平台的建设，包括孵化器内各个资源和服务平台建设过程中的创新创业活动实施、经营管理以及配套建设。
   本项目的实施，对提高入孵企业的创业成功率，拉动高新技术产业投资、促进区域经济转型升级具有重大意义；项目会为有创业激情梦想的企业家提供全方位的专业服务，成张家口产业结构优化的新生力量，成为张家口新的经济增长点，将会汇聚京津冀区域内人才、科技、资本、企业等资源进入孵化器园区，有助于创新项目落地，助力京津冀协同创新和京张携手冬奥。
    目前，项目实施主体硬件建设已完成，运营面积面积超过30000平米，配套实施完备；管理服务机构齐全，孵化能力完善，运营团队人员配置为23人，导师团队8人；信息化能力特色显著，孵化器各类企业和机构入驻总数超过50家。
   项目的实施，主要为解决专业性服务水平，完善团队功能建设；探索、完善服务体系；提高信息化能力建设；加强投融资的水平和效率；开展京津冀协同创新，促进孵化器企业招商，促进科技奥运项目和可再生能源的落地。",省级,2019
声屏障用阻燃型吸音聚氨酯软质泡沫的研发,张庆国,衡水中铁建环保工程有限公司,"      阻燃性吸音聚氨酯软质泡沫是应铁路行业应用者的要求，研发适用于声屏障的新型吸声材料。其主要特点是阻燃性、耐老化、耐冻融性好，寿命长。具有良好的市场应用前景。
    阻燃性吸音聚氨酯软质泡沫采用高分子聚合材料反应而成，通过调整和添加助剂，使产品的阻燃性、耐老化、耐冻融性能完全符合技术要求。通过优化配方技术，阻燃性吸音聚氨酯软质泡沫具有良好的形态稳定性，达到或超过铁路声屏障寿命不小于25年的要求。",省级,2017
京津冀地区地热资源合理开发利用研究,张庆莲,河北地质大学,"    京津冀地区是中国北方政治、文化、经济的枢纽地带，人口、经济、资源、环境相协调的需要是重大国家战略，是实现京津冀优势互补、促进环渤海经济区发展、带动北方腹地发展的需要。在能源需求增加、化石能源短缺的条件及可持续发展的要求下，地热资源的重要性逐渐凸显。开发利用地热资源有利于优化能源结构，满足京津冀地区能源需求。
    京津冀地区的地热能资源主要包括两大类，即浅层地温能和水热型地热资源。通过对京津冀地区地热资源调查评价与区划资料的整理，总结地热资源分布的地质背景、赋存条件和地热资源量，分析京津冀地区地热资源分布规律，结合不同地区地热类型、开发利用现状及潜力，为地热资源合理开发利用提供依据。",省级,2016
